size,mae,rmse,pearson
1000,0.7655610035194681,0.9277815375977714,0.5397655083850529
5000,0.7660789997142053,0.9252257426094267,0.5461966241833992
10000,0.766285017225134,0.9259174999232003,0.5456860706709391
20000,0.766285017225134,0.9259174999232003,0.5456860706709391
