word,coefficient
sad,2.5012349653785355
imagine,1.8365745057312959
terrible,1.6634519244793045
poor,1.4495996173236627
awful,1.4063240153058338
lost,1.2821151672397575
feel,1.0630886606943304
horrible,1.0180640093129796
bad for,1.015641991196971
horrifying,1.0005021256480848
family,0.999100610645015
hope,0.9932121781484743
suffering,0.9861573634453054
heartbreaking,0.9813146864986745
children,0.9636879580796304
life,0.9609191701183613
must,0.9607069453052887
tragic,0.9528242347864717
felt,0.95039960666381
losing,0.9339928594224809
through,0.9271881561044143
killed,0.8992650477406577
depression,0.8928992855432215
scary,0.8730822059470503
such,0.8594052957392206
depressing,0.8568371613575175
to,0.8463075705778191
child,0.8256329701995898
so sad,0.821480134238723
families,0.8079755934794668
