label,mae,rmse,pearson
Baseline Ridge · train,0.4715016281952208,0.5933630655673108,0.7732129131799844
Baseline Ridge · dev,0.5655487245923148,0.7103885689783881,0.6395631297841026
Baseline Ridge · test,0.6061564745617923,0.7569375959275082,0.6442259529498923
