alpha,mae,rmse,pearson
0.1,0.7983600802141628,0.983561938081296,0.4796735263567655
1.0,0.7631948389588914,0.9262356353594543,0.5377295624637417
3.0,0.766285017225134,0.9259174999232003,0.5456860706709391
10.0,0.7848148383794783,0.9427495834744732,0.5404000515714062
100.0,0.850298624966035,1.0179363844761018,0.5030143589563213
