name,ngram_range,mae,rmse,pearson
unigrams,"(1, 1)",0.7660789997142053,0.9252257426094267,0.5461966241833992
unigrams+bigrams,"(1, 2)",0.7640364802297,0.9252646089551553,0.5470994172886608
