model,split,eval_loss,eval_mae,eval_rmse,eval_pearson
RoBERTa-base,dev,0.7400593161582947,0.6974824666976929,0.8602670721163191,0.6224960088729858
RoBERTa-base,test,1.1941213607788086,0.8725544214248657,1.0927586013291355,0.5606701374053955
